,YES VOTES,DISTRICT,COUNTY,PARTY
1778,829,SD 1,CHEYENNE,REPUBLICAN PARTY
1779,11132,SD 1,ELBERT,REPUBLICAN PARTY
1780,2543,SD 1,KIT CARSON,REPUBLICAN PARTY
1781,1709,SD 1,LINCOLN,REPUBLICAN PARTY
1782,7045,SD 1,LOGAN,REPUBLICAN PARTY
1783,7754,SD 1,MORGAN,REPUBLICAN PARTY
1784,1722,SD 1,PHILLIPS,REPUBLICAN PARTY
1785,968,SD 1,SEDGWICK,REPUBLICAN PARTY
1786,2153,SD 1,WASHINGTON,REPUBLICAN PARTY
1787,12970,SD 1,WELD,REPUBLICAN PARTY
1788,3486,SD 1,YUMA,REPUBLICAN PARTY
1789,52311,SD 1,TOTAL,REPUBLICAN PARTY
1790,132,SD 1,CHEYENNE,DEMOCRATIC PARTY
1791,3241,SD 1,ELBERT,DEMOCRATIC PARTY
1792,492,SD 1,KIT CARSON,DEMOCRATIC PARTY
1793,345,SD 1,LINCOLN,DEMOCRATIC PARTY
1794,1490,SD 1,LOGAN,DEMOCRATIC PARTY
1795,2722,SD 1,MORGAN,DEMOCRATIC PARTY
1796,322,SD 1,PHILLIPS,DEMOCRATIC PARTY
1797,229,SD 1,SEDGWICK,DEMOCRATIC PARTY
1798,249,SD 1,WASHINGTON,DEMOCRATIC PARTY
1799,4076,SD 1,WELD,DEMOCRATIC PARTY
1800,596,SD 1,YUMA,DEMOCRATIC PARTY
1801,13894,SD 1,TOTAL,DEMOCRATIC PARTY
1802,2936,SD 2,CLEAR CREEK,DEMOCRATIC PARTY
1803,6149,SD 2,EL PASO,DEMOCRATIC PARTY
1804,5962,SD 2,FREMONT,DEMOCRATIC PARTY
1805,3666,SD 2,PARK,DEMOCRATIC PARTY
1806,3870,SD 2,TELLER,DEMOCRATIC PARTY
1807,22583,SD 2,TOTAL,DEMOCRATIC PARTY
1808,2308,SD 2,CLEAR CREEK,REPUBLICAN PARTY
1809,12627,SD 2,EL PASO,REPUBLICAN PARTY
1810,13228,SD 2,FREMONT,REPUBLICAN PARTY
1811,5630,SD 2,PARK,REPUBLICAN PARTY
1812,8738,SD 2,TELLER,REPUBLICAN PARTY
1813,42531,SD 2,TOTAL,REPUBLICAN PARTY
1814,39768,SD 3,PUEBLO,DEMOCRATIC PARTY
1815,39768,SD 3,TOTAL,DEMOCRATIC PARTY
1816,14253,SD 3,PUEBLO,LIBERTARIAN PARTY
1817,14253,SD 3,TOTAL,LIBERTARIAN PARTY
1818,6119,SD 5,CHAFFEE,DEMOCRATIC PARTY
1819,5358,SD 5,DELTA,DEMOCRATIC PARTY
1820,14906,SD 5,EAGLE,DEMOCRATIC PARTY
1821,5851,SD 5,GUNNISON,DEMOCRATIC PARTY
1822,232,SD 5,HINSDALE,DEMOCRATIC PARTY
1823,1920,SD 5,LAKE,DEMOCRATIC PARTY
1824,7452,SD 5,PITKIN,DEMOCRATIC PARTY
1825,41838,SD 5,TOTAL,DEMOCRATIC PARTY
1826,4753,SD 5,CHAFFEE,REPUBLICAN PARTY
1827,9615,SD 5,DELTA,REPUBLICAN PARTY
1828,6787,SD 5,EAGLE,REPUBLICAN PARTY
1829,2790,SD 5,GUNNISON,REPUBLICAN PARTY
1830,309,SD 5,HINSDALE,REPUBLICAN PARTY
1831,897,SD 5,LAKE,REPUBLICAN PARTY
1832,2224,SD 5,PITKIN,REPUBLICAN PARTY
1833,27375,SD 5,TOTAL,REPUBLICAN PARTY
1834,2777,SD 6,ARCHULETA,DEMOCRATIC PARTY
1835,264,SD 6,DOLORES,DEMOCRATIC PARTY
1836,15514,SD 6,LA PLATA,DEMOCRATIC PARTY
1837,4295,SD 6,MONTEZUMA,DEMOCRATIC PARTY
1838,5282,SD 6,MONTROSE,DEMOCRATIC PARTY
1839,1807,SD 6,OURAY,DEMOCRATIC PARTY
1840,272,SD 6,SAN JUAN,DEMOCRATIC PARTY
1841,2997,SD 6,SAN MIGUEL,DEMOCRATIC PARTY
1842,33208,SD 6,TOTAL,DEMOCRATIC PARTY
1843,3843,SD 6,ARCHULETA,REPUBLICAN PARTY
1844,868,SD 6,DOLORES,REPUBLICAN PARTY
1845,12412,SD 6,LA PLATA,REPUBLICAN PARTY
1846,7187,SD 6,MONTEZUMA,REPUBLICAN PARTY
1847,13271,SD 6,MONTROSE,REPUBLICAN PARTY
1848,1334,SD 6,OURAY,REPUBLICAN PARTY
1849,167,SD 6,SAN JUAN,REPUBLICAN PARTY
1850,1006,SD 6,SAN MIGUEL,REPUBLICAN PARTY
1851,40088,SD 6,TOTAL,REPUBLICAN PARTY
1852,24205,SD 7,MESA,DEMOCRATIC PARTY
1853,24205,SD 7,TOTAL,DEMOCRATIC PARTY
1854,42327,SD 7,MESA,REPUBLICAN PARTY
1855,42327,SD 7,TOTAL,REPUBLICAN PARTY
1856,25892,SD 9,EL PASO,DEMOCRATIC PARTY
1857,25892,SD 9,TOTAL,DEMOCRATIC PARTY
1858,61341,SD 9,EL PASO,REPUBLICAN PARTY
1859,61341,SD 9,TOTAL,REPUBLICAN PARTY
1860,28015,SD 11,EL PASO,DEMOCRATIC PARTY
1861,28015,SD 11,TOTAL,DEMOCRATIC PARTY
1862,17200,SD 11,EL PASO,REPUBLICAN PARTY
1863,17200,SD 11,TOTAL,REPUBLICAN PARTY
1864,33026,SD 13,WELD,REPUBLICAN PARTY
1865,33026,SD 13,TOTAL,REPUBLICAN PARTY
1866,21453,SD 13,WELD,DEMOCRATIC PARTY
1867,21453,SD 13,TOTAL,DEMOCRATIC PARTY
1868,1776,SD 13,WELD,LIBERTARIAN PARTY
1869,1776,SD 13,TOTAL,LIBERTARIAN PARTY
1870,39256,SD 15,LARIMER,DEMOCRATIC PARTY
1871,39256,SD 15,TOTAL,DEMOCRATIC PARTY
1872,44434,SD 15,LARIMER,REPUBLICAN PARTY
1873,44434,SD 15,TOTAL,REPUBLICAN PARTY
1874,5480,SD 16,BOULDER,DEMOCRATIC PARTY
1875,7689,SD 16,DENVER,DEMOCRATIC PARTY
1876,1791,SD 16,GILPIN,DEMOCRATIC PARTY
1877,32443,SD 16,JEFFERSON,DEMOCRATIC PARTY
1878,47403,SD 16,TOTAL,DEMOCRATIC PARTY
1879,2043,SD 16,BOULDER,REPUBLICAN PARTY
1880,5155,SD 16,DENVER,REPUBLICAN PARTY
1881,1401,SD 16,GILPIN,REPUBLICAN PARTY
1882,26555,SD 16,JEFFERSON,REPUBLICAN PARTY
1883,35154,SD 16,TOTAL,REPUBLICAN PARTY
1884,217,SD 16,BOULDER,LIBERTARIAN PARTY
1885,400,SD 16,DENVER,LIBERTARIAN PARTY
1886,152,SD 16,GILPIN,LIBERTARIAN PARTY
1887,1828,SD 16,JEFFERSON,LIBERTARIAN PARTY
1888,2597,SD 16,TOTAL,LIBERTARIAN PARTY
1889,39102,SD 20,JEFFERSON,REPUBLICAN PARTY
1890,39102,SD 20,TOTAL,REPUBLICAN PARTY
1891,49974,SD 20,JEFFERSON,DEMOCRATIC PARTY
1892,49974,SD 20,TOTAL,DEMOCRATIC PARTY
1893,3239,SD 20,JEFFERSON,LIBERTARIAN PARTY
1894,3239,SD 20,TOTAL,LIBERTARIAN PARTY
1895,42747,SD 22,JEFFERSON,DEMOCRATIC PARTY
1896,42747,SD 22,TOTAL,DEMOCRATIC PARTY
1897,30754,SD 22,JEFFERSON,REPUBLICAN PARTY
1898,30754,SD 22,TOTAL,REPUBLICAN PARTY
1899,27068,SD 24,ADAMS,REPUBLICAN PARTY
1900,27068,SD 24,TOTAL,REPUBLICAN PARTY
1901,35578,SD 24,ADAMS,DEMOCRATIC PARTY
1902,35578,SD 24,TOTAL,DEMOCRATIC PARTY
1903,2033,SD 24,ADAMS,LIBERTARIAN PARTY
1904,2033,SD 24,TOTAL,LIBERTARIAN PARTY
1905,3328,SD 24,ADAMS,UNAFFILIATED
1906,3328,SD 24,TOTAL,UNAFFILIATED
1907,34604,SD 30,DOUGLAS,DEMOCRATIC PARTY
1908,34604,SD 30,TOTAL,DEMOCRATIC PARTY
1909,43948,SD 30,DOUGLAS,REPUBLICAN PARTY
1910,43948,SD 30,TOTAL,REPUBLICAN PARTY
1911,4710,SD 30,DOUGLAS,INDEPENDENT
1912,4710,SD 30,TOTAL,INDEPENDENT
1913,53307,SD 32,DENVER,DEMOCRATIC PARTY
1914,53307,SD 32,TOTAL,DEMOCRATIC PARTY
1915,17294,SD 32,DENVER,REPUBLICAN PARTY
1916,17294,SD 32,TOTAL,REPUBLICAN PARTY
1917,3446,SD 32,DENVER,INDEPENDENT
1918,3446,SD 32,TOTAL,INDEPENDENT
1919,54312,SD 34,DENVER,DEMOCRATIC PARTY
1920,54312,SD 34,TOTAL,DEMOCRATIC PARTY
1921,11018,SD 34,DENVER,REPUBLICAN PARTY
1922,11018,SD 34,TOTAL,REPUBLICAN PARTY
